,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2076221,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,Wow.,"Post Malone",1776945,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
3,"Going Bad (feat. Drake)","Meek Mill",1403664,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
4,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1316480,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
5,"Without Me",Halsey,1300945,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"SICKO MODE","Travis Scott",1198318,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
7,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1148630,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
8,"Look Back At It","A Boogie Wit da Hoodie",1109268,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
9,"thank u, next","Ariana Grande",1093814,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
10,"Mo Bamba","Sheck Wes",1077317,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
11,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,1033178,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
12,"Dancing With A Stranger (with Normani)","Sam Smith",1009478,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
13,"Leave Me Alone","Flipp Dinero",890891,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
14,"a lot","21 Savage",875338,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
15,"Saturday Nights",Khalid,857494,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
16,"High Hopes","Panic! At The Disco",811140,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
17,"Wake Up in the Sky","Gucci Mane",807292,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
18,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",762078,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
19,"Lucid Dreams","Juice WRLD",744489,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
20,"Better Now","Post Malone",732809,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,Happier,Marshmello,714328,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
22,SAD!,XXXTENTACION,710180,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
23,Money,"Cardi B",704058,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
24,Better,Khalid,662760,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
25,"whoa (mind in awe)",XXXTENTACION,656241,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
26,"Eastside (with Halsey & Khalid)","benny blanco",654342,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
27,"when the party's over","Billie Eilish",651090,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
28,"Armed And Dangerous","Juice WRLD",635598,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
29,Splashin,"Rich The Kid",617685,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
30,monster,"21 Savage",604562,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
31,Moonlight,XXXTENTACION,598752,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
32,"MIA (feat. Drake)","Bad Bunny",593986,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
33,"Space Cadet (feat. Gunna)","Metro Boomin",581923,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
34,YOSEMITE,"Travis Scott",569713,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
35,Nonstop,Drake,568284,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
36,"Taste (feat. Offset)",Tyga,558949,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
37,lovely,"Billie Eilish",557301,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
38,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",537559,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
39,"Butterfly Doors","Lil Pump",516856,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3
40,"Jocelyn Flores",XXXTENTACION,513431,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
41,"Calling My Spirit","Kodak Black",507609,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5
42,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,507163,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
43,idontwannabeyouanymore,"Billie Eilish",506877,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
44,"rockstar (feat. 21 Savage)","Post Malone",506268,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
45,"Giant (with Rag'n'Bone Man)","Calvin Harris",505483,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
46,"Crushed Up",Future,503519,https://open.spotify.com/track/7AYuSG1LoaaFVKjOxsB6Vh
