,file,unique_albums
1,regional-us-weekly-2016-12-30--2017-01-06.csv,39
2,regional-us-weekly-2016-12-30--2017-01-06.csv,78
3,regional-us-weekly-2016-12-30--2017-01-06.csv,111
4,regional-us-weekly-2016-12-30--2017-01-06.csv,145
5,regional-us-weekly-2017-01-06--2017-01-13.csv,40
6,regional-us-weekly-2017-01-06--2017-01-13.csv,80
7,regional-us-weekly-2017-01-06--2017-01-13.csv,116
8,regional-us-weekly-2017-01-06--2017-01-13.csv,148
9,regional-us-weekly-2017-01-13--2017-01-20.csv,42
10,regional-us-weekly-2017-01-13--2017-01-20.csv,79
11,regional-us-weekly-2017-01-13--2017-01-20.csv,118
12,regional-us-weekly-2017-01-13--2017-01-20.csv,146
13,regional-us-weekly-2017-01-20--2017-01-27.csv,43
14,regional-us-weekly-2017-01-20--2017-01-27.csv,80
15,regional-us-weekly-2017-01-20--2017-01-27.csv,116
16,regional-us-weekly-2017-01-20--2017-01-27.csv,147
17,regional-us-weekly-2017-01-27--2017-02-03.csv,40
18,regional-us-weekly-2017-01-27--2017-02-03.csv,75
19,regional-us-weekly-2017-01-27--2017-02-03.csv,111
20,regional-us-weekly-2017-01-27--2017-02-03.csv,144
21,regional-us-weekly-2017-02-03--2017-02-10.csv,35
22,regional-us-weekly-2017-02-03--2017-02-10.csv,71
23,regional-us-weekly-2017-02-03--2017-02-10.csv,108
24,regional-us-weekly-2017-02-03--2017-02-10.csv,144
25,regional-us-weekly-2017-02-10--2017-02-17.csv,39
26,regional-us-weekly-2017-02-10--2017-02-17.csv,77
27,regional-us-weekly-2017-02-10--2017-02-17.csv,114
28,regional-us-weekly-2017-02-10--2017-02-17.csv,144
29,regional-us-weekly-2017-02-17--2017-02-24.csv,39
30,regional-us-weekly-2017-02-17--2017-02-24.csv,74
31,regional-us-weekly-2017-02-17--2017-02-24.csv,104
32,regional-us-weekly-2017-02-17--2017-02-24.csv,135
33,regional-us-weekly-2017-02-24--2017-03-03.csv,40
34,regional-us-weekly-2017-02-24--2017-03-03.csv,77
35,regional-us-weekly-2017-02-24--2017-03-03.csv,107
36,regional-us-weekly-2017-02-24--2017-03-03.csv,135
37,regional-us-weekly-2017-03-03--2017-03-10.csv,31
38,regional-us-weekly-2017-03-03--2017-03-10.csv,69
39,regional-us-weekly-2017-03-03--2017-03-10.csv,103
40,regional-us-weekly-2017-03-03--2017-03-10.csv,131
41,regional-us-weekly-2017-03-10--2017-03-17.csv,39
42,regional-us-weekly-2017-03-10--2017-03-17.csv,69
43,regional-us-weekly-2017-03-10--2017-03-17.csv,102
44,regional-us-weekly-2017-03-10--2017-03-17.csv,136
45,regional-us-weekly-2017-03-17--2017-03-24.csv,24
