,file,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,regional-us-weekly-2017-12-29--2018-01-05.csv,112,21,392,14,91,21,67,155,77,133,42,91,104,72,77,21,253,70,308,63,217,266,266,147,392,140,245,119,147,203,63,35,217,84,78,476,196,232,19,175,253,98,140,63,98,56,133,308,133,36,16,15,203,343,133,77,263,67,92,15,98,266,56,196,42,392,48,30,338,399,70,28,260,189,49,21,71,21,210,49,392,266,189,525,197,28,102,399,414,210,343,245,15,133,56,56,434,399,70,203,232,70,293,15,609,336,63,217,35,203,63,105,120,140,280,259,54,273,56,28,260,119,266,22,15,31,133,7,287,28,7,231,197,49,1123,63,14,406,343,189,66,56,266,16,234,28,77,293,21,15,63,119,161,33,161,236,630,476,441,147,133,392,329,323,21,392,413,826,273,105,293,49,826,588,252,15,539,588,175,217,407,315,84,602,511,28,217,253,236,28,476,70,126,294,28,308,174,245,106,413
2,regional-us-weekly-2018-01-05--2018-01-12.csv,119,23,28,21,399,74,8,28,162,273,49,98,84,7,98,28,140,84,126,154,77,111,79,70,147,273,42,315,224,399,260,85,154,26,252,70,23,105,91,210,224,483,239,203,147,63,260,140,182,70,105,140,43,56,140,224,22,78,84,31,74,350,77,3,105,63,273,315,399,37,56,210,22,77,99,203,55,49,35,345,28,35,35,217,406,77,28,35,7,109,399,70,273,35,267,196,252,70,217,140,421,210,126,63,441,63,28,406,210,406,38,127,270,42,196,147,21,140,350,204,239,70,343,294,238,63,31,56,266,300,287,29,273,22,35,63,1130,243,273,35,73,22,70,241,280,532,40,350,126,49,483,267,300,84,413,56,28,77,420,168,154,35,637,414,833,204,399,140,336,168,91,448,14,112,35,595,833,280,322,243,616,126,14,260,546,224,609,133,84,300,182,399,22,61,35,35,22,483,224,112
3,regional-us-weekly-2018-01-12--2018-01-19.csv,126,7,30,35,7,406,28,81,15,35,280,56,105,91,91,147,8,84,118,105,35,161,133,154,30,280,49,86,70,63,322,406,92,267,77,98,7,231,231,259,217,77,112,38,154,161,84,490,7,210,267,77,14,231,246,147,147,147,189,7,91,112,357,81,70,50,112,85,38,322,280,84,29,406,10,210,217,63,42,77,42,116,7,224,106,413,84,7,280,42,406,62,77,259,203,56,42,35,274,147,5,217,29,42,352,45,448,7,224,413,147,7,154,217,413,428,277,357,245,350,70,134,246,307,273,36,35,203,294,301,35,42,99,70,133,5,211,250,42,7,1137,14,47,280,70,280,80,63,77,38,49,539,70,357,248,63,287,307,133,421,29,250,7,840,35,420,11,91,7,42,7,175,427,211,455,98,553,175,147,406,644,77,840,161,274,602,343,490,140,329,29,231,105,623,119,44,267,91,56,21
4,regional-us-weekly-2018-01-19--2018-01-26.csv,6,133,6,37,42,413,14,88,35,22,14,42,63,98,287,112,37,168,98,154,9,70,56,161,91,140,125,42,413,287,238,99,329,112,93,274,105,45,14,106,84,91,238,266,161,224,12,119,84,274,77,497,168,217,15,154,253,84,196,238,154,154,14,45,119,364,84,98,119,57,21,92,329,287,49,7,36,91,77,413,88,217,49,224,123,49,70,14,420,140,91,49,231,314,113,287,266,210,413,17,224,8,42,84,52,281,224,364,77,455,420,161,14,154,154,357,359,420,253,435,231,252,314,280,49,301,308,69,1144,63,43,284,36,218,49,141,257,42,10,54,287,49,87,210,14,364,238,21,287,314,77,630,546,45,182,7,140,12,434,847,63,847,112,428,257,350,70,294,105,70,49,255,77,182,56,84,5724,427,623,336,560,462,51,98,42,14,147,154,168,413,609,274,218,281,7,98,84,497,7,497
5,regional-us-weekly-2018-01-26--2018-02-02.csv,13,7,7,140,44,7,420,95,7,10,113,29,7,49,21,42,21,294,105,49,119,13,7,70,161,63,8,175,105,168,294,106,245,7,147,77,7,7,49,132,420,16,281,336,273,52,119,7,281,112,91,7,245,98,21,231,7,168,100,91,126,7,504,224,161,175,7,161,19,260,161,91,203,84,294,245,126,52,427,371,17,7,91,130,336,126,99,7,21,7,238,7,420,231,224,22,98,7,84,77,7,56,7,98,442,147,49,56,175,56,64,321,7,273,21,427,238,420,217,91,294,95,56,14,371,120,84,24,288,462,294,231,7,366,161,231,59,427,21,315,7,364,260,147,43,14,161,291,287,168,14,259,1151,308,321,264,225,189,371,50,7,112,21,28,28,148,281,637,245,441,70,56,217,553,854,294,56,321,435,301,35,94,119,854,61,434,161,52,77,84,616,105,56,5731,262,357,567,264,42,225
6,regional-us-weekly-2018-02-02--2018-02-09.csv,20,14,7,120,147,51,14,17,427,36,102,49,301,28,28,7,56,112,126,14,182,70,56,168,113,112,77,252,175,14,301,154,139,427,288,56,28,59,343,84,23,7,280,238,20,119,252,14,126,98,14,98,288,175,105,107,511,168,231,267,21,8,133,182,168,137,26,168,59,210,301,7,252,133,14,14,91,434,378,133,28,98,343,427,106,238,245,7,231,24,91,84,105,63,434,105,28,56,427,280,224,182,328,301,7,63,102,469,154,63,29,449,168,66,71,295,238,371,21,373,127,238,168,322,328,434,63,245,301,1158,267,266,28,378,154,91,7,31,14,294,1932,14,175,50,7,245,315,14,35,298,271,57,7,232,14,7,126,155,98,861,119,224,448,98,442,644,560,378,196,308,84,364,301,441,861,252,101,328,168,29,623,5738,22,112,70,63,49,161,269,288,59,7,637,68,28,56,50,271,7,232
7,regional-us-weekly-2018-02-09--2018-02-16.csv,27,7,7,14,127,21,35,154,7,24,434,7,21,58,109,7,308,7,189,35,119,56,7,63,35,133,77,120,7,175,21,63,119,259,161,182,7,308,14,21,146,66,434,350,7,295,84,63,144,28,15,7,245,105,259,91,126,287,30,182,295,114,175,518,105,133,238,35,274,175,66,112,7,189,217,21,175,21,8,308,33,259,140,21,140,27,7,21,113,42,140,7,441,385,98,8,350,105,98,31,434,238,35,245,252,70,73,21,476,161,112,78,287,335,434,63,245,231,175,109,308,456,134,329,380,274,378,112,175,245,441,1165,29,21,273,302,11,441,8,252,21,14,70,335,36,70,252,189,308,278,98,651,91,182,301,38,36,133,91,105,322,449,161,64,57,70,28,126,385,239,305,66,868,203,371,567,108,448,75,308,175,335,70,868,91,315,119,231,5745,295,162,105,455,278,630,259,434,1939,28,56
8,regional-us-weekly-2018-02-16--2018-02-23.csv,34,14,14,134,21,28,42,31,21,441,9,116,14,28,14,65,315,196,42,14,84,14,127,42,63,126,70,182,266,70,14,28,168,315,140,73,189,126,153,441,151,70,21,302,22,28,35,357,91,7,42,266,302,133,14,252,189,28,112,294,7,14,525,182,73,245,121,98,112,224,196,182,281,140,14,182,28,119,49,315,147,147,266,40,147,28,15,9,120,36,357,7,14,392,448,42,14,245,441,8,259,252,105,34,112,28,342,38,80,77,168,70,483,441,28,294,182,387,238,119,28,385,252,1172,315,140,182,280,658,336,8,448,463,116,14,105,252,342,141,43,168,259,14,28,281,309,133,448,308,119,98,43,73,259,315,15,189,574,285,85,112,329,246,105,196,71,456,342,997,77,312,9,70,392,35,77,210,77,455,64,322,875,266,98,112,378,462,98,7,175,302,182,315,5752,285,875,126,126,45,82
9,regional-us-weekly-2018-02-23--2018-03-02.csv,41,7,21,21,35,141,28,38,49,7,16,28,448,123,35,72,21,203,322,21,21,49,91,134,273,189,133,133,70,80,49,29,77,448,7,21,158,175,7,77,42,322,147,35,160,309,196,28,35,35,7,77,8,364,98,21,49,7,196,309,273,80,140,15,301,119,189,532,14,252,288,189,259,14,203,128,448,35,189,105,231,119,49,43,22,147,126,14,87,56,322,154,35,154,127,273,21,448,455,252,266,364,189,399,165,45,35,21,259,7,175,119,301,77,349,266,21,490,154,50,84,147,394,1179,245,8,16,322,259,189,455,35,392,259,126,287,35,343,140,665,123,21,15,252,41,148,80,470,455,448,349,266,315,21,292,105,288,35,196,22,385,336,112,175,119,316,322,658,78,463,51,133,119,253,581,189,319,112,203,71,462,189,217,399,273,182,469,349,882,882,309,322,292,92,126,122,105,329,448,245
10,regional-us-weekly-2018-03-02--2018-03-09.csv,48,14,28,7,28,42,148,45,35,56,23,35,455,130,7,210,28,42,7,14,79,56,329,280,98,141,7,140,196,36,165,87,56,140,8,49,455,28,84,182,329,154,167,316,42,203,84,42,77,28,196,29,28,42,87,35,203,105,371,316,196,280,56,84,308,147,539,259,295,21,22,14,50,210,135,133,14,266,238,196,28,56,94,172,126,14,42,455,126,21,161,7,161,329,154,462,15,182,14,8,196,259,280,371,273,63,196,42,57,406,455,42,112,266,308,154,23,52,126,497,7,401,7,356,273,42,84,15,252,1186,161,294,266,462,133,329,266,399,672,8,130,87,462,28,350,7,392,182,477,297,273,299,21,155,42,91,126,322,147,140,295,85,12,356,126,343,14,323,260,455,134,49,196,588,203,889,28,665,305,316,22,326,224,889,84,112,329,469,406,476,189,8,280,78,210,196,133,329,28,299
